Hour,Charging_Cost (USCts/kWh),Discharging_Revenue (USCts/kWh),LMC (USCts/kWh),Peak_Hour,Net_Profit (USCts/kWh),Date
1,0,0,17,0,0,1/1/2025 0:00
2,0,62.78385093,17,0,62.78385093,1/1/2025 1:00
3,0,41.84732215,15,0,41.84732215,1/1/2025 2:00
4,0,26.67454939,14,0,26.67454939,1/1/2025 3:00
5,0,58.97031351,16,0,58.97031351,1/1/2025 4:00
6,0,46.17538953,17,1,46.17538953,1/1/2025 5:00
7,0,70.23064365,17,1,70.23064365,1/1/2025 6:00
8,0,47.67466553,17,1,47.67466553,1/1/2025 7:00
9,0,76.47146943,14,1,76.47146943,1/1/2025 8:00
10,18.41199053,45.28083942,16,0,26.86884889,1/1/2025 9:00
11,38.46444366,0,16,0,-38.46444366,1/1/2025 10:00
12,38.81399128,14.25301238,16,0,-24.5609789,1/1/2025 11:00
13,0,60.01016553,17,0,60.01016553,1/1/2025 12:00
14,39.99751786,31.33502638,17,0,-8.662491485,1/1/2025 13:00
15,21.39013901,47.09086706,17,0,25.70072804,1/1/2025 14:00
16,0,14.97418718,17,0,14.97418718,1/1/2025 15:00
17,0,92.52431877,17,1,92.52431877,1/1/2025 16:00
18,0,46.36796919,17,1,46.36796919,1/1/2025 17:00
19,0,172.040099,32,1,172.040099,1/1/2025 18:00
20,0,71.83753132,17,1,71.83753132,1/1/2025 19:00
21,0,46.41081941,17,1,46.41081941,1/1/2025 20:00
22,0,48.42930804,17,0,48.42930804,1/1/2025 21:00
23,0,62.52781172,17,0,62.52781172,1/1/2025 22:00
24,0,15.22293558,17,0,15.22293558,1/1/2025 23:00
25,0,46.68407933,17,0,46.68407933,1/2/2025 0:00
26,0,46.3975329,17,0,46.3975329,1/2/2025 1:00
27,0,48.1503846,17,0,48.1503846,1/2/2025 2:00
28,0,46.72720116,17,0,46.72720116,1/2/2025 3:00
29,0,46.95804307,17,0,46.95804307,1/2/2025 4:00
30,0,45.81868915,17,1,45.81868915,1/2/2025 5:00
31,0,73.58432144,17,1,73.58432144,1/2/2025 6:00
32,0,48.52089968,17,1,48.52089968,1/2/2025 7:00
33,21.33102423,47.77736099,17,1,26.44633675,1/2/2025 8:00
34,21.17425201,46.45010556,17,0,25.27585355,1/2/2025 9:00
35,59.42699539,14.92308462,17,0,-44.50391077,1/2/2025 10:00
36,39.33548695,31.81165999,17,0,-7.523826966,1/2/2025 11:00
37,39.42664439,32.6533013,17,0,-6.773343087,1/2/2025 12:00
38,39.36704294,15.41178542,17,0,-23.95525751,1/2/2025 13:00
39,0,47.76423884,17,0,47.76423884,1/2/2025 14:00
40,0,31.833006,17,0,31.833006,1/2/2025 15:00
41,0,69.56490034,17,1,69.56490034,1/2/2025 16:00
42,0,70.56827938,17,1,70.56827938,1/2/2025 17:00
43,0,310.4672775,74,1,310.4672775,1/2/2025 18:00
44,0,97.08163474,74,1,97.08163474,1/2/2025 19:00
45,0,68.124852,17,1,68.124852,1/2/2025 20:00
46,0,46.36368611,17,0,46.36368611,1/2/2025 21:00
47,0,15.99869596,17,0,15.99869596,1/2/2025 22:00
48,0,32.20228548,17,0,32.20228548,1/2/2025 23:00
49,0,15.1505395,17,0,15.1505395,1/3/2025 0:00
50,0,15.35150628,17,0,15.35150628,1/3/2025 1:00
51,0,14.22674187,16,0,14.22674187,1/3/2025 2:00
52,0,45.05770048,16,0,45.05770048,1/3/2025 3:00
53,0,43.76035231,16,0,43.76035231,1/3/2025 4:00
54,0,69.36804615,17,1,69.36804615,1/3/2025 5:00
55,0,48.73082486,17,1,48.73082486,1/3/2025 6:00
56,28.73417681,33.52700138,12,1,4.792824574,1/3/2025 7:00
57,23.47278617,24.63155052,9,1,1.158764357,1/3/2025 8:00
58,41.37384957,11.08493971,12,0,-30.28890985,1/3/2025 9:00
59,23.82665572,16.99015529,9,0,-6.83650043,1/3/2025 10:00
60,35.39637398,30.4939914,16,0,-4.902382578,1/3/2025 11:00
61,53.93242877,14.2326467,16,0,-39.69978207,1/3/2025 12:00
62,25.13094205,20.5397502,11,0,-4.591191849,1/3/2025 13:00
63,38.9553777,31.61243344,17,0,-7.342944256,1/3/2025 14:00
64,40.8952469,15.62516523,17,0,-25.27008166,1/3/2025 15:00
65,0,22.78432525,17,1,22.78432525,1/3/2025 16:00
