Day,Optimized_Daily_MW,Date
1,-59.12479729,"Wednesday, January 1, 2025"
2,-67.46181428,"Thursday, January 2, 2025"
3,37.6755023,"Friday, January 3, 2025"
4,42.13187105,"Saturday, January 4, 2025"
5,19.21429322,"Sunday, January 5, 2025"
6,-14.58574569,"Monday, January 6, 2025"
7,-3.796404929,"Tuesday, January 7, 2025"
8,-17.82636753,"Wednesday, January 8, 2025"
9,-11.81987652,"Thursday, January 9, 2025"
10,-9.866436704,"Friday, January 10, 2025"
11,0.244918969,"Saturday, January 11, 2025"
12,6.373014598,"Sunday, January 12, 2025"
13,-25.658858,"Monday, January 13, 2025"
14,11.05696329,"Tuesday, January 14, 2025"
15,32.8181839,"Wednesday, January 15, 2025"
16,-12.64302623,"Thursday, January 16, 2025"
17,-12.29793663,"Friday, January 17, 2025"
18,18.29337012,"Saturday, January 18, 2025"
19,-9.296012229,"Sunday, January 19, 2025"
20,29.86159978,"Monday, January 20, 2025"
21,36.82263698,"Tuesday, January 21, 2025"
22,42.34030215,"Wednesday, January 22, 2025"
23,48.62197806,"Thursday, January 23, 2025"
24,-8.446401836,"Friday, January 24, 2025"
25,15.4434713,"Saturday, January 25, 2025"
26,-11.95803758,"Sunday, January 26, 2025"
27,20.5016697,"Monday, January 27, 2025"
28,-3.415870875,"Tuesday, January 28, 2025"
29,43.02280254,"Wednesday, January 29, 2025"
30,9.175364863,"Thursday, January 30, 2025"
31,-4.351542506,"Friday, January 31, 2025"
32,-17.19067914,"Saturday, February 1, 2025"
33,33.93692112,"Sunday, February 2, 2025"
34,-29.83666712,"Monday, February 3, 2025"
35,17.09790072,"Tuesday, February 4, 2025"
36,-17.94605646,"Wednesday, February 5, 2025"
37,31.31898594,"Thursday, February 6, 2025"
38,-12.02359245,"Friday, February 7, 2025"
39,-2.534684754,"Saturday, February 8, 2025"
40,-26.86425462,"Sunday, February 9, 2025"
41,-6.680807452,"Monday, February 10, 2025"
42,-14.16338025,"Tuesday, February 11, 2025"
43,10.70415137,"Wednesday, February 12, 2025"
44,-17.12508075,"Thursday, February 13, 2025"
45,42.62210656,"Friday, February 14, 2025"
46,-0.479920506,"Saturday, February 15, 2025"
47,-21.4944741,"Sunday, February 16, 2025"
48,38.0642498,"Monday, February 17, 2025"
49,-10.97171771,"Tuesday, February 18, 2025"
50,-19.25899323,"Wednesday, February 19, 2025"
51,24.86725677,"Thursday, February 20, 2025"
52,-5.143495342,"Friday, February 21, 2025"
53,14.81107522,"Saturday, February 22, 2025"
54,-17.20518702,"Sunday, February 23, 2025"
55,-11.06874715,"Monday, February 24, 2025"
56,-1.646048061,"Tuesday, February 25, 2025"
57,28.12423728,"Wednesday, February 26, 2025"
58,23.38777201,"Thursday, February 27, 2025"
59,-33.21402226,"Friday, February 28, 2025"
60,23.07251294,"Saturday, March 1, 2025"
61,-12.28138512,"Sunday, March 2, 2025"
62,-42.74504113,"Monday, March 3, 2025"
63,7.268394829,"Tuesday, March 4, 2025"
64,25.90324095,"Wednesday, March 5, 2025"
65,7.252396978,"Thursday, March 6, 2025"
66,-24.23659291,"Friday, March 7, 2025"
67,37.87906151,"Saturday, March 8, 2025"
68,7.341183563,"Sunday, March 9, 2025"
69,10.82495112,"Monday, March 10, 2025"
70,-12.20137598,"Tuesday, March 11, 2025"
71,-14.66265077,"Wednesday, March 12, 2025"
72,13.31028685,"Thursday, March 13, 2025"
73,19.5608957,"Friday, March 14, 2025"
74,-41.46149135,"Saturday, March 15, 2025"
75,40.24213551,"Sunday, March 16, 2025"
76,9.906690074,"Monday, March 17, 2025"
77,-8.204103452,"Tuesday, March 18, 2025"
78,4.770434675,"Wednesday, March 19, 2025"
79,0.200341892,"Thursday, March 20, 2025"
80,8.876658906,"Friday, March 21, 2025"
81,-9.800597968,"Saturday, March 22, 2025"
82,-15.05056683,"Sunday, March 23, 2025"
83,23.5373628,"Monday, March 24, 2025"
84,-19.1946935,"Tuesday, March 25, 2025"
85,19.19660507,"Wednesday, March 26, 2025"
86,2.889685993,"Thursday, March 27, 2025"
87,-15.71119473,"Friday, March 28, 2025"
88,42.97508078,"Saturday, March 29, 2025"
89,-12.50000745,"Sunday, March 30, 2025"
90,-4.740410888,"Monday, March 31, 2025"
91,-13.08951148,"Tuesday, April 1, 2025"
92,-23.84130609,"Wednesday, April 2, 2025"
93,13.04003476,"Thursday, April 3, 2025"
94,6.120714139,"Friday, April 4, 2025"
95,-8.73541775,"Saturday, April 5, 2025"
96,-18.81804383,"Sunday, April 6, 2025"
97,-12.77483194,"Monday, April 7, 2025"
