Hour,Optimized_Hourly_MW
1,9.046292107
2,4.255861851
3,2.180858362
4,5.745568071
5,2.30287341
6,4.254566628
7,3.444493208
8,3.360810038
9,-5.223522327
10,-8.17329193
11,6.729916616
12,9.011517795
13,7.867685357
14,6.59842499
15,2.653287076
16,-7.908544004
17,-3.917444274
18,0.337633088
19,2.851582446
20,-5.148271252
21,1.513334029
22,3.956440711
23,0.178968413
24,2.662004104
25,12.06520899
26,4.010152779
27,0.246436198
28,-0.706431304
29,3.869959715
30,4.218599695
31,10.3590048
32,3.144024179
33,3.390539634
34,1.773517815
35,10.88930312
36,9.470787712
37,15.47926187
38,-8.632809466
39,-5.353075465
40,-4.945851205
41,-0.224135712
42,1.110285999
43,4.321139674
44,3.619061229
45,9.355253029
46,-1.472407578
47,3.551987491
48,3.099903034
49,15.27493342
50,-3.897140383
51,1.131953949
52,-0.913075881
53,5.936195527
54,-0.859863149
55,4.546904931
56,7.194606758
57,6.592830495
58,-1.038495151
59,3.018935281
60,5.337072612
61,7.473549194
62,0.875011699
63,5.718562263
64,3.318698155
65,10.13999972
66,-0.053405734
67,0.085674928
68,-2.536474725
69,1.833722434
70,2.305624661
71,1.349939086
72,-0.468709783
73,-1.744240934
74,5.520004034
75,-9.04691656
76,-0.885330793
77,-0.624648627
78,2.723360347
79,5.337029115
80,2.068882859
81,1.474312637
82,2.505801041
83,-0.293353858
84,6.86731912
85,0.714255941
86,3.108712034
87,3.30091579
88,-4.160578784
89,5.231790068
90,-8.148542716
91,-1.893051109
92,-6.861105913
93,-3.176225383
94,-11.52155265
95,3.398413748
96,9.408889671
97,4.808282198
98,-3.893415928
99,-10.51818922
100,4.944833146
101,-10.65994169
102,5.410823907
103,1.812864434
104,-4.875591359
105,-6.459157173
106,-9.02819822
107,12.82083471
108,6.239296948
109,6.304108555
110,-3.886814518
111,1.520245037
112,6.873425564
113,4.344795399
114,1.017298543
115,-3.466130959
116,0.463566147
117,-6.212861553
118,4.839111372
119,-4.285777423
120,-1.458706912
121,2.566943922
122,6.453395886
123,0.192227871
124,-0.470340909
125,-4.229614951
126,-1.3147971
127,3.142036487
128,2.860457329
129,-0.293267016
130,0.294051305
131,-6.017497507
132,-3.397215547
133,-4.143766758
134,-7.244838923
135,4.590599131
136,-1.89445981
137,-0.674884861
138,-3.168587844
139,-2.197212934
140,3.451478467
141,-0.72718948
142,-5.212495356
143,1.290164154
144,0.266094216
145,-3.323998474
146,0.694763206
147,-3.400302937
148,-3.010802396
149,-0.998698912
150,-2.846290539
151,0.200222868
152,-13.6913131
153,-0.173141046
154,-0.626776289
155,0.738488975
156,1.067428094
157,-7.337676268
158,2.056919205
159,-8.004087048
160,5.440002619
161,-2.385074501
162,-3.946103801
163,-0.425941499
164,-2.734022068
165,3.486854704
166,0.108479278
167,-9.48025082
168,6.907441665
169,-10.75528236
170,4.942660918
171,6.140089103
172,2.934270384
173,-11.03956585
174,8.932462393
175,8.270577173
176,0.29482493
177,-0.495647907
178,4.5301931
179,-3.521117794
180,0.673212069
181,-0.733465116
182,2.872528622
183,3.492036409
184,4.808726533
185,-7.040781542
186,-3.506109602
187,-3.066334395
188,-7.111553077
189,1.149787701
190,1.910068158
191,6.594310924
192,-0.083896008
193,5.893521703
194,-5.363605696
195,7.78187676
196,-3.572434845
197,-5.532390196
198,0.65871288
199,0.033598389
200,-1.099625185
201,-1.516915514
202,-10.13444388
203,-0.890302234
204,1.067182958
205,3.781033601
206,-2.912942208
207,-10.6937326
208,-9.325386148
209,-2.228097203
210,0.587947031
211,2.095035712
212,-4.694325395
213,-10.14930199
214,-2.981918451
215,-6.481360982
216,2.079752935
217,0.026418838
218,5.617012169
219,-1.634574926
220,-3.799100211
221,1.204422887
222,3.087657963
223,-3.525668494
224,-5.782402246
225,-2.069106374
226,-1.822035092
227,0.154579857
228,-6.617618325
229,-0.799829718
230,9.945088747
231,4.56486369
232,-0.958279481
233,2.181180561
234,7.518495012
235,-0.049741031
236,-10.01602261
237,6.576506067
238,-3.439669282
239,2.122176017
240,-9.748767125
241,2.894324557
242,-5.36588479
243,0.186798587
244,0.693792813
245,0.993367524
246,4.586083718
247,-3.205707696
248,1.252164072
249,-1.826915842
250,-2.443560219
251,-1.474778231
252,-0.461067604
253,5.672309568
254,-7.196286128
255,-11.41222384
256,-6.812968804
257,-2.625183808
258,1.254898844
259,7.305892385
260,-5.707999612
261,6.728827542
262,8.032566107
263,-4.51606666
264,1.803958565
265,4.051583208
266,0.368583882
267,5.785483296
268,-3.412869952
269,4.370483751
270,3.777450154
271,0.763292327
272,-0.406122518
273,0.205796366
274,11.88672409
275,-0.572106492
276,3.438131447
277,6.222943808
278,-3.150793539
279,-4.85860995
280,2.273178122
281,4.726890883
282,-4.700688328
283,-0.362960496
284,-4.392509146
285,6.015999237
286,1.614503092
287,-3.859660644
288,2.95324503
289,-0.171079257
290,12.57616911
291,-0.561343899
292,-3.812384246
293,2.088723027
294,-1.69472529
295,-4.700170233
296,-2.750999997
297,-1.454862056
298,0.210536849
299,2.770881672
300,-3.565106678
301,-0.999382295
302,9.431565939
303,-10.05060992
304,-3.566798425
305,-1.290358319
306,-5.554179235
307,-0.038233211
308,-8.321841368
309,-3.227109943
310,0.219513879
311,2.247626514
312,4.406020158
313,1.604080399
314,-0.881388104
315,5.515940046
316,3.389973465
317,-10.91775262
318,-1.874136571
319,-1.917772617
320,-4.225402093
321,0.128263495
322,11.69048952
323,-6.920646506
324,1.663647045
325,8.649258974
326,-4.910177323
327,8.167339112
328,-1.015946008
329,-4.447418868
330,-1.513210834
331,7.658505117
332,5.822794326
333,8.195243122
334,6.184178794
335,-1.569513927
336,-9.959831223
337,1.980220006
338,4.635109667
339,-7.727878447
340,5.971149024
341,-2.652886373
342,0.114259618
343,-0.003408483
344,3.168092455
345,4.308331127
346,-7.509076829
347,2.775350196
348,-6.311376675
349,2.182265652
350,-0.396536821
351,-10.22200325
352,-9.091883133
353,-9.140856184
354,3.613300331
355,-2.711735903
356,2.227162105
357,5.524855781
358,-0.629374425
359,2.410087502
360,-8.565283415
361,-7.080890631
362,0.198756449
363,-2.59973973
364,3.432629901
365,-7.330533386
366,0.183240443
367,-4.820971302
368,7.537903865
369,3.280905615
370,7.963028594
371,-2.110020886
372,-6.988692874
373,-6.815698388
374,-5.040780487
375,-3.135598249
376,-11.96612244
377,3.3274836
378,-9.572540698
379,1.141373946
380,0.472147687
381,-2.171961372
382,-0.999784262
383,3.604377168
384,-4.632172791
385,3.095498721
386,-4.991272602
387,-5.051898884
388,0.08006356
389,-0.297169107
390,5.915008719
391,6.245576356
392,2.077178636
393,-0.139847386
394,4.749410081
395,-1.085369122
396,-5.277121643
397,3.434699306
398,1.869055599
399,7.820414076
400,-6.943815203
401,-4.056040958
402,-6.163850803
403,-6.974684366
404,-12.06597703
405,-6.284829478
406,-4.787365936
407,6.620108352
408,-0.950892517
409,5.583395897
410,1.998222678
411,-8.240811115
412,8.039696405
413,-1.659993662
414,0.255405847
415,-6.084025515
416,-3.765756761
417,-4.840432463
418,-11.11536772
419,5.435785716
420,0.547780998
421,5.106814366
422,-5.138559435
423,-0.982423721
424,-8.336200442
425,5.769195084
426,-3.86871844
427,8.757298448
428,-5.063745471
429,-0.272252424
430,3.592943104
431,-2.037705662
432,-4.011529455
433,-0.66253936
434,6.493455914
435,0.368865965
436,3.641456825
437,-3.712482939
438,0.389388872
439,-6.639714216
440,-2.65202018
441,-2.84826849
442,-4.938468968
443,-3.955756352
444,1.485383102
445,1.301184781
446,3.276111767
447,-3.907890446
448,-3.743006175
449,-0.279406655
450,5.383272436
451,5.808740727
452,0.117291516
453,1.79771568
454,-2.075032389
455,-8.582108784
456,2.22641988
457,-0.520015432
458,-1.578434016
459,-0.245329662
460,2.530642472
461,8.692649126
462,2.995420793
463,-2.693613611
464,-5.042370846
465,6.256371335
466,3.956645359
467,3.761898193
468,3.510621662
469,7.322477382
470,3.206814657
471,-12.16642226
472,6.281285593
473,0.738023514
474,-3.74525139
475,-2.428181201
476,-5.846680931
477,5.516428076
478,-0.888791124
479,-4.464275396
480,4.947611761
481,-4.273221413
482,3.128588861
483,4.715249277
484,0.038540662
485,-4.150498578
486,-7.024399786
487,-2.067619289
488,-1.55352326
489,-4.045526002
490,7.898371396
491,-4.17253657
492,3.038790363
493,0.070770607
494,-3.428017799
495,2.290203808
496,7.666542463
497,-5.815495533
498,-1.859673664
499,-0.438118622
500,-1.785505892
501,-4.804406957
502,2.811972266
503,8.846060264
504,6.384439019
505,-11.48005582
506,-5.237096491
507,3.116530418
508,-3.680337106
509,-2.095717429
510,0.533404781
511,-7.227875357
512,-2.986913652
513,-3.409082715
514,12.9679631
515,1.444110681
516,-5.76409935
517,-2.017365334
518,-5.58276702
519,-9.409759601
520,-4.748403871
521,-4.095435829
522,2.361194741
523,-11.66139869
524,2.43473071
525,2.688974307
526,2.886672458
527,-5.638095932
528,4.288194012
529,5.798755739
530,3.414500522
531,2.160705377
532,1.539234104
533,1.718054933
534,-8.120914654
535,-6.859827522
536,3.132186636
537,-6.413517992
538,-11.32895753
539,-5.302035274
540,-8.577304144
541,6.908351305
542,-0.612028496
543,-10.31916055
544,-8.291359248
545,-2.664700115
546,-1.368937254
547,-8.257891419
548,-1.307305229
549,0.320821779
550,-5.048334815
551,-4.722336321
552,-0.146974754
553,-3.919971499
554,-0.499046745
555,-0.005007434
556,-0.260401864
557,-2.255084477
558,-6.580473781
559,-2.443036244
560,-0.975313111
561,0.829944446
562,2.381463775
563,-1.032210368
564,4.096090885
565,-10.29507667
566,-4.172849718
567,-5.160425062
568,6.924815597
569,-9.813427619
570,-4.655183968
571,10.68062845
572,0.324551817
573,3.912890445
574,3.151759472
575,-5.829109558
576,3.030463175
577,-5.541106665
578,-4.868038743
579,-4.123688435
580,1.209959179
581,-3.035170691
582,0.447062568
583,-1.061241699
584,0.082887641
585,-0.187214256
586,-3.953873375
587,-0.80236275
588,3.476093453
589,-3.119733767
590,-2.666706244
591,-2.238984261
592,3.93064088
593,-0.406435969
594,5.745210666
595,-9.403150497
596,-1.1108345
597,0.010965616
598,-0.276233597
599,-4.816006357
600,5.768276456
601,9.199102624
602,-7.700477448
603,3.039449904
604,-8.851029173
605,0.079200992
606,-0.170742889
607,-3.572743307
608,-6.483242007
609,-4.050520713
610,-5.024060962
611,0.613963212
612,-2.813683566
613,-0.034929109
614,0.073201829
615,2.110653621
616,5.805000802
617,-6.663184973
618,-1.85116046
619,7.100430583
620,-5.360584746
621,3.609406416
622,-2.037380127
623,5.431710183
624,-1.61222384
625,5.933314484
626,3.218404851
627,4.214139001
628,1.879519869
629,2.847927817
630,-4.808616359
631,-8.737275022
632,0.291088422
633,11.16083549
634,4.385867822
635,-9.605858297
636,-3.042421414
637,8.007391349
638,-10.49705291
639,-10.15733883
640,8.633285537
641,-2.460509994
642,-1.841337879
643,6.774174053
644,7.379042561
645,-8.458787557
646,4.758102191
647,-9.317271411
648,-2.83193118
649,-7.285070865
650,0.984828421
651,1.83835755
652,6.948469947
653,-10.66692606
654,-1.108536216
655,6.062347513
656,-3.42732139
657,0.630072752
658,-12.18289114
659,-1.19928501
660,-12.89586609
661,7.92249319
662,-0.265968521
663,3.767751962
664,-4.323848272
665,-2.66690139
666,-2.962813615
667,-5.863977203
668,7.024777723
669,4.285022992
670,5.413154093
671,0.145179302
672,2.648715453
673,-2.031838412
674,0.050468152
675,3.516848677
676,11.58970195
677,6.339708911
678,0.915667428
679,-1.245239166
680,-2.967051918
681,5.550571375
682,4.717977252
683,9.023482463
684,1.478728733
685,-9.843858803
686,-9.778079496
687,-1.82498661
688,2.027599569
689,0.16731415
690,2.772256666
691,5.020865024
692,-6.063169473
693,-7.760673062
694,0.994669571
695,0.644278174
696,-1.571853821
697,3.708995119
698,2.70902484
699,-2.688585355
700,-3.159994633
701,-0.368311829
702,3.732045367
703,13.52191875
704,-1.872650393
705,-4.07124661
706,1.024613065
707,4.692530449
708,-8.294460296
709,0.41353923
710,-3.192462945
711,-4.097457321
712,2.567721029
713,-3.470838529
714,4.6203861
715,5.699143705
716,1.89665985
717,-0.732992087
718,3.000559739
719,-8.116541454
720,11.47973728
721,2.44429545
722,-3.126855981
723,-1.530467626
724,-2.735345459
725,-1.678746948
726,1.397796613
727,-3.313414
728,-0.513856157
729,1.644907845
730,6.034207092
731,-6.373743451
732,-4.980333758
733,-0.688748145
734,2.697962139
735,3.769722549
736,-2.752300738
737,-4.548258787
738,-9.670795087
739,8.142009887
740,2.588804486
741,5.975530139
742,-6.38239835
743,-3.534366054
744,-2.137833787
745,-2.040602531
746,0.682006365
747,-4.213513732
748,2.188952156
749,-4.618882111
750,-5.669003573
751,-1.885367486
752,2.953630054
753,-8.416528405
754,-1.049956008
755,-4.549266616
756,10.02876829
757,0.896611501
758,-2.63941216
759,2.408250441
760,10.88341534
761,-0.398081975
762,-3.208074841
763,-8.763336507
764,5.536586724
765,-5.920211531
766,1.979147816
767,-3.439939289
768,0.043859137
769,-0.7277793
770,-1.902029608
771,2.442949905
772,-0.008596928
773,3.472985199
774,6.529035946
775,-2.205700215
776,-2.300700343
777,-7.046033454
778,-2.491701166
779,4.713829387
780,6.658872603
781,6.877005027
782,-5.205372438
783,-5.882099758
784,-2.938649574
785,-0.742039898
786,0.123572407
787,10.19421402
788,7.638394173
789,-1.052905155
790,4.742144056
791,-2.579654596
792,-3.975646532
793,6.224361037
794,-2.780880345
795,7.64339737
796,-2.725640873
797,3.695355335
798,-9.866153053
799,-3.255246535
800,3.675895824
801,1.413759332
802,5.456538354
803,6.67094351
804,0.73603711
805,-1.966082824
806,2.005292875
807,-9.271861663
808,-0.097667205
809,-0.502777282
810,16.42087536
811,-0.37099291
812,-0.899564079
813,-7.17156796
814,6.100150799
815,3.184917965
816,-3.594753034
817,-0.659313501
818,7.626085481
819,1.111494492
820,-4.657682096
821,2.217150021
822,-1.359644413
823,2.569673112
824,10.65737365
825,-9.910436918
826,-7.279684213
827,-1.406129954
828,1.441818577
829,2.443719257
830,-0.354893733
831,-0.207974954
832,-1.558787736
833,6.678288243
834,0.564780344
835,1.316950692
836,0.940808016
837,-0.353222142
838,-5.247484551
839,-1.642804207
840,-1.766654765
841,0.096600351
842,-0.207723127
843,-4.408985289
844,8.086509668
845,4.384279518
846,-2.641110388
847,4.360891737
848,-0.609195154
849,-6.208741647
850,-3.927223533
851,8.499555091
852,3.945732328
853,-3.726697186
854,12.86657069
855,-0.341940514
856,0.485630496
857,5.976060331
858,-6.800709431
859,-5.164465103
860,-8.831792989
861,-5.227873933
862,0.313053135
863,7.017352251
864,-0.439097536
865,-7.716163725
866,8.770909531
867,9.18072025
868,-6.532817331
869,1.082146141
870,0.836974804
